antecedent_genes,consequent_stress_samples,support,confidence,lift
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ileS', 'lspA', 'ispH', 'dapB', 'apaG']",['bile stress'],0.3427471116816431,0.9592814371257485,2.5504445034844987
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['control stress'],0.3427471116816431,0.9112627986348123,2.5504445034844987
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['bile stress'],0.3675652545999144,0.9772468714448236,2.517999932267423
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['bile stress'],0.3675652545999144,0.9470782800441014,2.5179999322674234
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['control stress'],0.34146341463414637,0.9078498293515359,2.5469928585768784
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['bile stress'],0.34146341463414637,0.9579831932773111,2.5469928585768784
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['bile stress'],0.362002567394095,0.9746543778801843,2.591316588288954
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['bile stress'],0.362002567394095,0.962457337883959,2.5913165882889544
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['control stress'],0.3461703038083012,0.9203640500568827,2.5454328816366094
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['bile stress'],0.3461703038083012,0.957396449704142,2.5454328816366094
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ileS', 'lspA', 'ispH', 'dapB', 'apaG']",['control stress'],0.33675652545999146,0.9425149700598804,2.644246680708212
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['control stress'],0.33675652545999146,0.9447779111644659,2.644246680708212
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ribF', 'ileS', 'lspA', 'ispH', 'dapB']",['control stress'],0.33975181857081727,0.9147465437788018,2.5601948177377962
"['yaaA', 'tal', 'mog', 'dnaK', 'rpsT', 'ileS', 'lspA', 'ispH', 'dapB', 'apaG']",['bile stress'],0.33975181857081727,0.9508982035928144,2.5601948177377962
